,handelsbenaming,gemiddelde_prijs,max_cilinders
0,AUDI S8,162761.0,10
1,AUDI A8,148436.0,8
2,AUDI S6,144485.0,10
3,AUDI A8L,143728.0,6
4,S6  AVANT,131992.0,10
5,A7 SPORTBACK,114312.0,6
6,AUDI Q7,113651.375,8
7,A6 ALLROAD QUATTRO,105879.5,6
8,AUDI S5,98992.5,8
9,AUDI S5 CABRIOLET,98748.0,6
10,Q7,92775.0,6
11,AUDI A4 AVANT 2.0 TDI QUATTRO,91959.0,4
12,AUDI Q5 QUATTRO,87036.0,6
13,AUDI A6 ALLROAD QUATTRO,84949.0,6
14,AUDI S4,82942.66666666667,6
15,AUDI TTS,77336.0,4
16,AUDI Q5 HYBRID,76658.0,4
17,AUDI A4 ALLROAD QUATTRO,71126.0,6
18,AUDI Q5,68396.25806451614,6
19,Q5,67944.66666666667,6
20,AUDI A5 CABRIOLET,67251.5,6
21,Q4 45 E-TRON,63510.0,0
22,A6 AVANT,61727.8,6
23,A5 CABRIOLET,59855.0,4
24,AUDI A6,56654.098039215685,6
25,A5 COUPE,56033.666666666664,6
26,AUDI A5,55356.0,6
27,Q3 SPORTBACK,54916.0,4
28,AUDI S3,54219.0,4
29,A6 LIMOUSINE,54041.0,6
30,AUDI TT,53829.230769230766,6
31,AUDI Q3,53756.0,4
32,Q3,52168.0,4
33,A5 SPORTBACK,49966.92307692308,4
34,A4 AVANT,45222.944444444445,6
35,AUDI A4,44900.53153153153,6
36,AUDI A3 CABRIOLET,43350.75,4
37,A4 LIMOUSINE,42264.22222222222,4
38,TT CABRIOLET,39391.0,4
39,AUDI A3,33576.15873015873,4
40,A3 SPORTBACK,30270.157894736843,4
41,A3,28542.5,4
42,A1,25284.25,4
43,AUDI A1,23340.658536585364,4
44,A1 SPORTBACK,22510.833333333332,4
